ID	Label	Exact Match	Synonyms	Suggested parent term	Abbreviation	Definition	Textual Definition	Definition Source	See Also	Editor	Reviewer1	Reviewer2	Type	Parent	Close Match	Exact Match.1	Narrow Match	Related Match
pbpko:PBPKO_00024	blood flow rate to liver		qliver		qliver	A blood flow rate parameter specifically describing the rate to the liver compartment.	A blood flow rate parameter specifically describing the rate to the liver compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'blood flow rate to compartment'				
pbpko:PBPKO_00025	fraction of blood flow to liver		fqliver		fqliver	The dimensionless fraction of cardiac output delivered to the liver compartment.	The dimensionless fraction of cardiac output delivered to the liver compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'fraction of blood flow to a compartment'				
pbpko:PBPKO_00026	blood flow rate to kidney		qkidney		qkidney	A blood flow rate parameter specifically describing the rate to the kidney compartment.	A blood flow rate parameter specifically describing the rate to the kidney compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'blood flow rate to compartment'				
pbpko:PBPKO_00027	fraction of blood flow to kidney		fqkidney		fqkidney	The dimensionless fraction of cardiac output delivered to the kidney compartment.	The dimensionless fraction of cardiac output delivered to the kidney compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'fraction of blood flow to a compartment'				
pbpko:PBPKO_00028	blood flow rate to muscle		qmuscle		qmuscle	A blood flow rate parameter specifically describing the rate to the muscle compartment.	A blood flow rate parameter specifically describing the rate to the muscle compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'blood flow rate to compartment'				
pbpko:PBPKO_00029	fraction of blood flow to muscle		fqmuscle		fqmuscle	The dimensionless fraction of cardiac output delivered to the muscle compartment.	The dimensionless fraction of cardiac output delivered to the muscle compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'fraction of blood flow to a compartment'				
pbpko:PBPKO_00030	blood flow rate to heart		qheart		qheart	A blood flow rate parameter specifically describing the rate to the heart compartment.	A blood flow rate parameter specifically describing the rate to the heart compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'blood flow rate to compartment'				
pbpko:PBPKO_00031	fraction of blood flow to heart		fqheart		fqheart	The dimensionless fraction of cardiac output delivered to the heart compartment.	The dimensionless fraction of cardiac output delivered to the heart compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'fraction of blood flow to a compartment'				
pbpko:PBPKO_00032	blood flow rate to fat		qfat		qfat	A blood flow rate parameter specifically describing the rate to the fat (adipose tissue) compartment.	A blood flow rate parameter specifically describing the rate to the fat (adipose tissue) compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'blood flow rate to compartment'				
pbpko:PBPKO_00033	fraction of blood flow to fat		fqfat		fqfat	The dimensionless fraction of cardiac output delivered to the fat compartment.	The dimensionless fraction of cardiac output delivered to the fat compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'fraction of blood flow to a compartment'				
pbpko:PBPKO_00034	blood flow rate to gonad		qgonad		qgonad	A blood flow parameter specifically describing the rate to the gonads compartment.	A blood flow parameter specifically describing the rate to the gonads compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'blood flow rate to compartment'				
pbpko:PBPKO_00035	fraction of blood flow to gonad		fqgonad		fqgonad	The dimensionless fraction of cardiac output delivered to the gonad compartment.	The dimensionless fraction of cardiac output delivered to the gonad compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'fraction of blood flow to a compartment'				
pbpko:PBPKO_00036	blood flow rate to skin		qskin		qskin	A blood flow rate parameter specifically describing the rate to the skin compartment.	A blood flow rate parameter specifically describing the rate to the skin compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'blood flow rate to compartment'				
pbpko:PBPKO_00037	fraction of blood flow to skin		fqskin		fqskin	The dimensionless fraction of cardiac output delivered to the skin compartment.	The dimensionless fraction of cardiac output delivered to the skin compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'fraction of blood flow to a compartment'				
pbpko:PBPKO_00038	blood flow rate to bone		qbone		qbone	A blood flow rate parameter specifically describing the rate to the bone compartment.	A blood flow rate parameter specifically describing the rate to the bone compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'blood flow rate to compartment'				
pbpko:PBPKO_00039	fraction of blood flow to bone		fqbone		fqbone	The dimensionless fraction of cardiac output delivered to the bone compartment.	The dimensionless fraction of cardiac output delivered to the bone compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'fraction of blood flow to a compartment'				
pbpko:PBPKO_00040	blood flow rate to brain		qbrain		qbrain	A blood flow rate parameter specifically describing the rate to the brain compartment.	A blood flow rate parameter specifically describing the rate to the brain compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'blood flow rate to compartment'				
pbpko:PBPKO_00041	fraction of blood flow to brain		fqbrain		fqbrain	The dimensionless fraction of cardiac output delivered to the brain compartment.	The dimensionless fraction of cardiac output delivered to the brain compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'fraction of blood flow to a compartment'				
pbpko:PBPKO_00042	blood flow rate to spleen		qspleen		qspleen	A blood flow rate parameter specifically describing the rate to the spleen compartment.	A blood flow rate parameter specifically describing the rate to the spleen compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'blood flow rate to compartment'				
pbpko:PBPKO_00043	fraction of blood flow to spleen		fqspleen		fqspleen	The dimensionless fraction of cardiac output delivered to the spleen compartment.	The dimensionless fraction of cardiac output delivered to the spleen compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'fraction of blood flow to a compartment'				
pbpko:PBPKO_00044	blood flow rate to lung		qlung		qlung	A blood flow rate parameter specifically describing the rate to the lung compartment.	A blood flow rate parameter specifically describing the rate to the lung compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'blood flow rate to compartment'				
pbpko:PBPKO_00045	fraction of blood flow to lung		fqlung		fqlung	The dimensionless fraction of cardiac output delivered to the lung compartment.	The dimensionless fraction of cardiac output delivered to the lung compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'fraction of blood flow to a compartment'				
pbpko:PBPKO_00046	blood flow rate to poorly perfused		qpoorlyperfused		qpoorlyperfused	A blood flow rate parameter specifically describing the rate to the poorly perfused organ/tissue compartment.	A blood flow rate parameter specifically describing the rate to the poorly perfused organ/tissue compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'blood flow rate to compartment'				
pbpko:PBPKO_00047	fraction of blood flow to poorly perfused		fqpoorlyperfused		fqpoorlyperfused	The dimensionless fraction of cardiac output delivered to the poorly perfused compartment.	The dimensionless fraction of cardiac output delivered to the poorly perfused compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'fraction of blood flow to a compartment'				
pbpko:PBPKO_00048	blood flow rate to richly perfused		qrichlyperfused		qrichlyperfused	A blood flow rate parameter specifically describing the rate to the richly perfused organ/tissue compartment.	A blood flow rate parameter specifically describing the rate to the richly perfused organ/tissue compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'blood flow rate to compartment'				
pbpko:PBPKO_00049	fraction of blood flow to richly perfused		fqrichlyperfused		fqrichlyperfused	The dimensionless fraction of cardiac output delivered to the richly perfused compartment.	The dimensionless fraction of cardiac output delivered to the richly perfused compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'fraction of blood flow to a compartment'				
pbpko:PBPKO_00050	blood flow rate to restbody		qrestbody		qrestbody	A blood flow rate parameter specifically describing the rate to the rest of body compartment (total minus specified organs).	A blood flow rate parameter specifically describing the rate to the rest of body compartment (total minus specified organs).			0000-0001-8345-1349	0000-0002-9795-5967		Class	'blood flow rate to compartment'				
pbpko:PBPKO_00051	fraction of blood flow to restbody		fqrestbody		fqrestbody	The dimensionless fraction of cardiac output delivered to the rest of the body compartment.	The dimensionless fraction of cardiac output delivered to the rest of the body compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'fraction of blood flow to a compartment'				
pbpko:PBPKO_00052	blood flow rate to gall bladder		qgallbladder		qgallbladder	A blood flow rate parameter specifically describing the rate to the gall bladder compartment.	A blood flow rate parameter specifically describing the rate to the gall bladder compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'blood flow rate to compartment'				
pbpko:PBPKO_00053	fraction of blood flow to gall bladder		fqgallbladder		fqgallbladder	The dimensionless fraction of cardiac output delivered to the gall bladder compartment.	The dimensionless fraction of cardiac output delivered to the gall bladder compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'fraction of blood flow to a compartment'				
pbpko:PBPKO_00054	blood flow rate to portal vein		qportalvein		qportalvein	A blood flow rate parameter specifically describing the rate to the portal vein compartment.	A blood flow rate parameter specifically describing the rate to the portal vein compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'blood flow rate to compartment'				
pbpko:PBPKO_00055	fraction of blood flow to portal vein		fqportalvein		fqportalvein	The dimensionless fraction of cardiac output delivered to the portal vein compartment.	The dimensionless fraction of cardiac output delivered to the portal vein compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'fraction of blood flow to a compartment'				
pbpko:PBPKO_00056	blood flow rate to lymph		qlymph		qlymph	A blood flow rate parameter specifically describing the rate to the lymph compartment.	A blood flow rate parameter specifically describing the rate to the lymph compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'blood flow rate to compartment'				
pbpko:PBPKO_00057	fraction of blood flow to lymph		fqlymph		fqlymph	The dimensionless fraction of cardiac output delivered to the lymph compartment.	The dimensionless fraction of cardiac output delivered to the lymph compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'fraction of blood flow to a compartment'				
pbpko:PBPKO_00058	amount of metabolized		ametab		ametab	An output parameter representing the total amount of compound metabolized.	An output parameter representing the total amount of compound metabolized.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'output parameter'				
pbpko:PBPKO_00060	fraction of blood flow to stratum corneum		scfblood		scfblood	The dimensionless fraction of cardiac output delivered to the stratum corneum compartment.	The dimensionless fraction of cardiac output delivered to the stratum corneum compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'fraction of blood flow to a compartment'				
pbpko:PBPKO_00061	fraction of exposed skin		fskin e		fskin e	A dimensionless fraction of volume defined as the exposed skin volume divided per unit of total body weight.	A dimensionless fraction of volume defined as the exposed skin volume divided per unit of total body weight.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'fraction of volume of compartment'				
pbpko:PBPKO_00062	fraction of unexposed skin		fskin u		fskin u	A dimensionless fraction of volume defined as the unexposed skin volume divided per unit of total body weight.	A dimensionless fraction of volume defined as the unexposed skin volume divided per unit of total body weight.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'fraction of volume of compartment'				
pbpko:PBPKO_00063	arterial blood flow rate					A blood flow rate parameter representing the rate of blood flow through the arterial compartment.	A blood flow rate parameter representing the rate of blood flow through the arterial compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'blood flow rate to compartment'				
pbpko:PBPKO_00064	venous blood flow rate					A blood flow rate parameter representing the rate of blood flow returning through the venous compartment.	A blood flow rate parameter representing the rate of blood flow returning through the venous compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'blood flow rate to compartment'				
pbpko:PBPKO_00065	glomerular filtration rate		gfr		gfr	A bodily fluid flow rate parameter (or physiological process measure) describing the flow rate of filtered fluid through the kidney compartment.	A bodily fluid flow rate parameter (or physiological process measure) describing the flow rate of filtered fluid through the kidney compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'bodily fluid flow rate parameter'				
pbpko:PBPKO_00066	volume of compartment		Vorgan		Vorgan	A physiological parameter representing the volume of a specific organ or tissue.	A physiological parameter representing the volume of a specific organ or tissue.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'physiological parameter'	http://www.ontology-of-units-of-measure.org/resource/om-2/Volume			
pbpko:PBPKO_00067	volume of stomach		vstomach		vstomach	A volume parameter representing the total volume of the stomach compartment.	A volume parameter representing the total volume of the stomach compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'volume of compartment'	http://purl.obolibrary.org/obo/OBA_VT0010199			
pbpko:PBPKO_00068	fraction of stomach		fstomach		fstomach	A dimensionless fraction of volume defined as the stomach volume divided per unit of total body weight.	A dimensionless fraction of volume defined as the stomach volume divided per unit of total body weight.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'fraction of volume of compartment'				
pbpko:PBPKO_00069	volume of intestine		vintestine		vintestine	A volume parameter representing the total volume of the intestine compartment.	A volume parameter representing the total volume of the intestine compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'volume of compartment'				
pbpko:PBPKO_00070	fraction of intestine		fintestine		fintestine	A dimensionless fraction of volume defined as the intestine volume divided per unit of total body weight.	A dimensionless fraction of volume defined as the intestine volume divided per unit of total body weight.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'fraction of volume of compartment'				
pbpko:PBPKO_00071	volume of small intestine		vsmall intestine		vsmall intestine	A volume parameter representing the total volume of the small intestine compartment.	A volume parameter representing the total volume of the small intestine compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'volume of compartment'				
pbpko:PBPKO_00072	fraction of small intestine		fsmall intestine		fsmall intestine	A dimensionless fraction of volume defined as the small intestine volume divided per unit of total body weight.	A dimensionless fraction of volume defined as the small intestine volume divided per unit of total body weight.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'fraction of volume of compartment'				
pbpko:PBPKO_00073	volume of large intestine		vlarge intestine		vlarge intestine	A volume parameter representing the total volume of the large intestine compartment.	A volume parameter representing the total volume of the large intestine compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'volume of compartment'				
pbpko:PBPKO_00074	fraction of large intestine		flarge intestine		flarge intestine	A dimensionless fraction of volume defined as the large intestine volume divided per unit of total body weight.	A dimensionless fraction of volume defined as the large intestine volume divided per unit of total body weight.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'fraction of volume of compartment'				
pbpko:PBPKO_00075	volume of pancreas		vpancreas		vpancreas	A volume parameter representing the total volume of the pancreas compartment.	A volume parameter representing the total volume of the pancreas compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'volume of compartment'	http://purl.obolibrary.org/obo/OBA_2050006			
pbpko:PBPKO_00076	fraction of pancreas		fpancreas		fpancreas	A dimensionless fraction of volume defined as the pancreas volume divided per unit of total body weight.	A dimensionless fraction of volume defined as the pancreas volume divided per unit of total body weight.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'fraction of volume of compartment'				
pbpko:PBPKO_00077	volume of liver		vliver		vliver	A volume parameter representing the total volume of the liver compartment.	A volume parameter representing the total volume of the liver compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'volume of compartment'	http://purl.obolibrary.org/obo/OBA_2050033			
pbpko:PBPKO_00078	fraction of liver		fliver		fliver	A dimensionless fraction of volume defined as the liver volume divided per unit of total body weight.	A dimensionless fraction of volume defined as the liver volume divided per unit of total body weight.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'fraction of volume of compartment'				
pbpko:PBPKO_00079	volume of kidney		vkidney		vkidney	A volume parameter representing the total volume of the kidney compartment.	A volume parameter representing the total volume of the kidney compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'volume of compartment'	http://purl.obolibrary.org/obo/OBA_2050015			
pbpko:PBPKO_00080	fraction of kidney		fkidney		fkidney	A dimensionless fraction of volume defined as the kidney volume divided per unit of total body weight.	A dimensionless fraction of volume defined as the kidney volume divided per unit of total body weight.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'fraction of volume of compartment'				
pbpko:PBPKO_00081	volume of muscle		vmuscle		vmuscle	A volume parameter representing the total volume of muscle compartment.	A volume parameter representing the total volume of muscle compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'volume of compartment'				
pbpko:PBPKO_00082	fraction of muscle		fmuscle		fmuscle	A dimensionless fraction of volume defined as the muscle volume divided per unit of total body weight.	A dimensionless fraction of volume defined as the muscle volume divided per unit of total body weight.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'fraction of volume of compartment'				
pbpko:PBPKO_00083	volume of heart		vheart		vheart	A volume parameter representing the total volume of the heart compartment.	A volume parameter representing the total volume of the heart compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'volume of compartment'				
pbpko:PBPKO_00084	fraction of heart		fheart		fheart	A dimensionless fraction of volume defined as the heart volume divided per unit of total body weight.	A dimensionless fraction of volume defined as the heart volume divided per unit of total body weight.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'fraction of volume of compartment'				
pbpko:PBPKO_00085	volume of fat		vfat		vfat	A volume parameter representing the total volume of fat (adipose tissue) compartment.	A volume parameter representing the total volume of fat (adipose tissue) compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'volume of compartment'				
pbpko:PBPKO_00086	fraction of fat		ffat		ffat	A dimensionless fraction of volume defined as the fat volume divided per unit of total body weight.	A dimensionless fraction of volume defined as the fat volume divided per unit of total body weight.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'fraction of volume of compartment'				
pbpko:PBPKO_00087	volume of gonad		vgonad		vgonad	A volume parameter representing the total volume of the gonad compartment.	A volume parameter representing the total volume of the gonad compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'volume of compartment'				
pbpko:PBPKO_00088	fraction of gonad		fgonad		fgonad	A dimensionless fraction of volume defined as the gonad volume divided per unit of total body weight.	A dimensionless fraction of volume defined as the gonad volume divided per unit of total body weight.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'fraction of volume of compartment'				
pbpko:PBPKO_00089	volume of skin		vskin		vskin	A volume parameter representing the total volume of the skin compartment.	A volume parameter representing the total volume of the skin compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'volume of compartment'				
pbpko:PBPKO_00090	fraction of skin		fskin		fskin	A dimensionless fraction of volume defined as the skin volume divided per unit of total body weight.	A dimensionless fraction of volume defined as the skin volume divided per unit of total body weight.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'fraction of volume of compartment'				
pbpko:PBPKO_00091	volume of bone		vbone		vbone	A volume parameter representing the total volume of bone compartment.	A volume parameter representing the total volume of bone compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'volume of compartment'				
pbpko:PBPKO_00092	fraction of bone		fbone		fbone	A dimensionless fraction of volume defined as the bone volume divided per unit of total body weight.	A dimensionless fraction of volume defined as the bone volume divided per unit of total body weight.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'fraction of volume of compartment'				
pbpko:PBPKO_00093	volume of brain		vbrain		vbrain	A volume parameter representing the total volume of the brain compartment.	A volume parameter representing the total volume of the brain compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'volume of compartment'	http://purl.obolibrary.org/obo/OBA_2050009			
pbpko:PBPKO_00094	fraction of brain		fbrain		fbrain	A dimensionless fraction of volume defined as the brain volume divided per unit of total body weight.	A dimensionless fraction of volume defined as the brain volume divided per unit of total body weight.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'fraction of volume of compartment'				
pbpko:PBPKO_00095	volume of spleen		vspleen		vspleen	A volume parameter representing the total volume of the spleen compartment.	A volume parameter representing the total volume of the spleen compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'volume of compartment'	http://purl.obolibrary.org/obo/OBA_2050204			
pbpko:PBPKO_00096	fraction of spleen		fspleen		fspleen	A dimensionless fraction of volume defined as the spleen volume divided per unit of total body weight.	A dimensionless fraction of volume defined as the spleen volume divided per unit of total body weight.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'fraction of volume of compartment'				
pbpko:PBPKO_00097	volume of lung		vlung		vlung	A volume parameter representing the total volume of the lung compartment.	A volume parameter representing the total volume of the lung compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'volume of compartment'	http://purl.obolibrary.org/obo/OBA_VT0001942			
pbpko:PBPKO_00098	fraction of lung		flung		flung	A dimensionless fraction of volume defined as the lung volume divided per unit of total body weight.	A dimensionless fraction of volume defined as the lung volume divided per unit of total body weight.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'fraction of volume of compartment'				
pbpko:PBPKO_00099	volume of poorly perfused		vpoorly perfused		vpoorly perfused	A volume parameter representing the total volume of the poorly perfused compartment.	A volume parameter representing the total volume of the poorly perfused compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'volume of compartment'				
pbpko:PBPKO_00100	fraction of poorly perfused		fpoorly perfused		fpoorly perfused	A dimensionless fraction of volume defined as the poorly perfused compartment volume divided per unit of total body weight.	A dimensionless fraction of volume defined as the poorly perfused compartment volume divided per unit of total body weight.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'fraction of volume of compartment'				
pbpko:PBPKO_00101	volume of richly perfused		vrichly perfused		vrichly perfused	A volume parameter representing the total volume of the richly perfused compartment.	A volume parameter representing the total volume of the richly perfused compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'volume of compartment'				
